Backbone,Training Time (s),Inference Time (s),GPU Memory (MB),Model Parameters,mAP
mobilenet_v3_small,577.4118361,0.006746773,3772.8125,34016468,0.045205397
mobilenet_v3_large,1467.263955,0.016800507,8440.8125,60666596,0.112311098
shufflenet_v2,1466.594151,0.015082849,8440.8125,63307160,0.046932177
efficientnet_b5,6544.038276,0.023482012,11566.8125,170163940,0.072272921
efficientnet_b6,8357.258178,0.030370168,11740.8125,205450380,0.135413986
densenet121,4014.010013,0.015054477,8254.8125,69007412,0.09244922
efficientnet_b0,2205.865495,0.007555207,12082.8125,84234032,0.016309501
efficientnet_b1,2759.013212,0.009456324,12082.8125,86739668,0.050300941
efficientnet_b2,2934.067241,0.009923723,12082.8125,97456310,0.006900329
efficientnet_b3,3784.980599,0.013200337,12082.8125,110275292,0.01880414
efficientnet_b4,4843.016692,0.016711753,12082.8125,137659900,0.044805102
resnet50,3648.871275,0.015238456,9696.8125,165331188,0.019597148
